Tap,pplayeermuust.hkknnkoooyy.alll,30,pplayeermuusthkknnkoooyyalll,28,93.3333333333333,..,2,6.66666666666667,67,31,70.4545454545455,13,29.5454545454545,1,M_D_Y H_M_S - 07-Jun-22 - 8_12_30 PM
Tap,yyouurretiiq7ettneeddssomework,30,yyouurretiiq7ettneeddsyyouurretiiq7ettneeddomework,50,100,,0,0,11,4,44.4444444444444,5,55.5555555555556,0,M_D_Y H_M_S - 07-Jun-22 - 8_12_30 PM
Tap,aparttmentsaretooexpemmbnsïve,29,aparttmentsareaparmensareaparttmentsareoexpemmbnsve,51,94.4444444444444,toï,3,5.55555555555556,0,0,0,1,100,0,M_D_Y H_M_S - 07-Jun-22 - 8_12_30 PM
Tap,mµodstgfujjudaarẃe,18,modstgfujjudaare,16,88.8888888888889,µẃ,2,11.1111111111111,0,0,0,0,0,0,M_D_Y H_M_S - 07-Jun-22 - 8_12_30 PM
Tap,ftheawtrwassmonitiorredsdily,28,ftheawtrwassmonitorredsdftheawtrwassmontorredsdly,49,98,i,1,2,0,0,0,2,100,1,M_D_Y H_M_S - 07-Jun-22 - 8_12_30 PM
Tap,thhweplugdoesnoottfit.athee,27,thhweplugdoesnoottthhweplugdoesnoottfitahhweplugdoesnoofi.ahee,62,98.4126984126984,.,1,1.58730158730159,1,0,0,3,100,4,M_D_Y H_M_S - 07-Jun-22 - 8_12_30 PM
Tap,humm.nnnnnmddddddfh,19,hummnnnnnmddddddfh,18,94.7368421052632,.,1,5.26315789473684,0,0,0,0,0,0,M_D_Y H_M_S - 07-Jun-22 - 8_12_30 PM
Tap,nnnnn,5,nnnnn,5,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 13-Jun-22 - 3_01_32 PM
Tap,lll,3,lll,3,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 13-Jun-22 - 3_01_32 PM
Tap,k,jhhhhjjhhnnnnnmj,18,k,jhhhhjjhhnnnnnmj,18,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 13-Jun-22 - 3_01_32 PM
Tap,likkkkb,7,likkkkb,7,100,,0,0,1,0,0,1,100,1,M_D_Y H_M_S - 13-Jun-22 - 3_01_32 PM
Tap,,0,,0,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 13-Jun-22 - 3_01_32 PM
Tap,jlllkmmiíjjkgllj'gjhhaf,23,jllljujujlllkmmijjkgllj'gjhhaf,30,96.7741935483871,í,1,3.2258064516129,0,0,0,0,0,0,M_D_Y H_M_S - 13-Jun-22 - 3_01_32 PM
Tap,uuggjjhhhhiy,12,uggjjhhhhy,10,90.9090909090909,i,1,9.09090909090909,0,0,0,0,0,0,M_D_Y H_M_S - 13-Jun-22 - 3_01_32 PM
Tap,hjjhhhiiiggjkkk..dxxdf,22,hjjhhhiiiggjkkk..dxxdf,22,100,,0,0,0,0,0,0,0,0,M_D_Y H_M_S - 13-Jun-22 - 3_01_32 PM
Tap,evcsxxs,7,evcsxxs,7,100,,0,0,0,0,0,1,100,1,M_D_Y H_M_S - 13-Jun-22 - 3_01_32 PM
Tap,bbmmmuig,,,,nnjhnnggkk,22,bmmmuig,,,,nnjhnnggkk,21,100,,0,0,0,0,0,0,0,0,M_D_Y H_M_S - 13-Jun-22 - 3_01_32 PM
