Tap_Gesture,relationareverystrainedftugh,28,relation,8,28.5714285714286,areverystrainedftugh,20,71.4285714285714,0,0,0,0,0,0,M_D_Y H_M_S - 20-May-22 - 8_28_37 PM
Gesture,electriccarsneedbrigfuelcells,29,-,-,0,electriccarsneedbrigfuelcells,29,100,-,-,-,-,-,-,M_D_Y H_M_S - 20-May-22 - 8_28_37 PM
Tap_Gesture,purrlifeexperiencehasincreased,30,exphasincreased,15,50,purrlifeerience,15,50,0,0,0,0,0,0,M_D_Y H_M_S - 20-May-22 - 8_28_37 PM
Tap,mostjudghgeareveryhonestjh,26,mostjudghgeareveryhonestjh,26,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 20-May-22 - 8_28_37 PM
Tap_Gesture,thisphenomenoniswillneveroccur,30,thisphenowillneveroccur,23,76.6666666666667,menonis,7,23.3333333333333,0,0,0,0,0,0,M_D_Y H_M_S - 20-May-22 - 8_28_37 PM
Tap,thewaterwashjkmonitoreddaily,mv,31,thewaterwashjkmonitoreddaily,mv,31,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 20-May-22 - 8_28_37 PM
Tap,housewgyithnewelecjutricalpanel,31,housewgyithnewelecjutricalpanel,31,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 20-May-22 - 8_28_37 PM
Tap,victimsdeservemoreredress,25,victimsdeservemoreredress,25,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 20-May-22 - 8_28_37 PM
Tap,hermajestyviuusitedourcouk,26,hermajestyviuusitedourcouk,26,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 20-May-22 - 8_28_37 PM
Tap_Gesture,seasonedgyjkolferslovethegame,29,seasonedseasonedgyseasonedgyjseasonedgyjk,41,78.8461538461538,lovethegame,11,21.1538461538462,0,0,0,1,100,0,M_D_Y H_M_S - 20-May-22 - 8_28_37 PM
