4.75971044393368,25,14,23,0,2,92,pleasefollowtheguidelines,ttthhéyrrhbjyk,M_D_Y H_M_S - 21-Jun-22 - 6_02_18 PM
16.4112879472412,23,23,21,0,2,91.304347826087,thefireblazedallweekend,hjddghhhjjgfffree,mkjjj,M_D_Y H_M_S - 21-Jun-22 - 6_02_18 PM
10.7186124243765,24,28,22,0,6,78.5714285714286,sixdaughtersandsevensons,sixvbhgffghhhhnhjkdmnndddahh,M_D_Y H_M_S - 21-Jun-22 - 6_02_18 PM
14.9224056667172,25,14,25,0,0,100,liedetectortestsneverwork,jkkuklkdfglljp,M_D_Y H_M_S - 21-Jun-22 - 6_02_18 PM
13.2265932561349,27,21,24,0,3,88.8888888888889,hermajestyvisitedourcountry,jjhhgggggtypmm,nnnbjm,M_D_Y H_M_S - 21-Jun-22 - 6_02_18 PM
20.5092803564751,23,20,21,0,2,91.304347826087,allgoodboysdeservefudge,eaweebbjhbgggggghhuu,M_D_Y H_M_S - 21-Jun-22 - 6_02_18 PM
13.9042101081713,28,16,26,0,2,92.8571428571429,thisphenomenonwillneveroccur,uuuyybbbv,pkojun,M_D_Y H_M_S - 21-Jun-22 - 6_02_18 PM
11.2652316052409,27,20,26,0,1,96.2962962962963,sprawlingsubdivisionsarebad,hcccccckohjmmmb.nnnn,M_D_Y H_M_S - 21-Jun-22 - 6_02_18 PM
19.9185559755133,24,25,25,0,0,100,relationsareverystrained,ggnvvremm.kkjjjkkkjjj.mml,M_D_Y H_M_S - 21-Jun-22 - 6_02_18 PM
23.9221434404987,27,26,26,0,1,96.2962962962963,universitiesaretooexpensive,bnjghjjnm.kujnnnnmmmmm,mmm,M_D_Y H_M_S - 21-Jun-22 - 6_02_18 PM
