Tap,jjkvvvh,7,jjkvvvh,7,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 30-Jun-22 - 3_25_04 PM
Tap,trreeeuphggg,12,trreeeuphggg,12,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 30-Jun-22 - 3_25_04 PM
Tap,bëgtggjggdde,12,bgtggjggdde,11,91.6666666666667,ë,1,8.33333333333333,0,0,0,0,0,0,M_D_Y H_M_S - 30-Jun-22 - 3_25_04 PM
Tap,lcvbkhh.newyyttofi,18,lcvbkhhilcvbkhh.newylcvbkhh.newylcvbkhh.newyytlcvbkhh.newyyt,60,100,,0,0,0,0,0,0,0,4,M_D_Y H_M_S - 30-Jun-22 - 3_25_04 PM
Tap,n?vjffncctgjgu,14,n?vjffncctgjgu,14,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 30-Jun-22 - 3_25_04 PM
Tap,mmgnnnhh,8,mgnnnhh,7,100,,0,0,0,0,0,0,0,1,M_D_Y H_M_S - 30-Jun-22 - 3_25_04 PM
Tap,hkggnnnnncjuyyk,15,hkggnnnnncjuyyk,15,100,,0,0,0,0,0,0,0,1,M_D_Y H_M_S - 30-Jun-22 - 3_25_04 PM
Tap,:hhhtghh,,ijjhhqn,17,:hhhtghh,,jjhhqn,16,94.1176470588235,i,1,5.88235294117647,0,0,0,0,0,0,M_D_Y H_M_S - 30-Jun-22 - 3_25_04 PM
Tap,gghghhhvvv,oo,13,ghghhhvvv,ooo,13,100,,0,0,1,0,0,1,100,0,M_D_Y H_M_S - 30-Jun-22 - 3_25_04 PM
Tap,vvvvvccdcx,10,vvvvccdcx,9,100,,0,0,0,0,0,0,0,1,M_D_Y H_M_S - 30-Jun-22 - 3_25_04 PM
