Tap_Gesture,chemicalspoiltookforeevr,24,okforeevr,9,37.5,chemicalspoilto,15,62.5,7,4,57.1428571428571,3,42.8571428571429,0,M_D_Y H_M_S - 11-May-22 - 6_15_22 PM
Tap,exercisethemaximumspeedlimit,28,exercisethemaximumspeedlimit,28,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 11-May-22 - 6_15_22 PM
Tap,esrthquascksarepredictable,26,esrthquascksarepredictable,26,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 11-May-22 - 6_15_22 PM
Tap_Gesture,prettywindbuffingbbfferk,24,b,1,4.16666666666667,prettywindbuffingbfferk,23,95.8333333333333,0,0,0,0,0,0,M_D_Y H_M_S - 11-May-22 - 6_15_22 PM
Tap_Gesture,i'mnesting'n,12,'n,2,16.6666666666667,i'mnesting,10,83.3333333333333,0,0,0,0,0,0,M_D_Y H_M_S - 11-May-22 - 6_15_22 PM
Tap,the4fireblazedallweeked,23,the4fireblazedallweeked,23,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 11-May-22 - 6_15_22 PM
Tap,theplugdoesnotfitthesocket,26,theplugdoesnotfitthesocket,26,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 11-May-22 - 6_15_22 PM
Tap,thisphenomenonwillneveroccur,28,thisphenomenonwillneveroccur,28,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 11-May-22 - 6_15_22 PM
Tap,allgoodboysdeservefudge,23,allgoodboysdeservefudge,23,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 11-May-22 - 6_15_22 PM
Tap,thisibrayjasmanbooks,20,thisibrayjasmanbooks,20,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 11-May-22 - 6_15_22 PM
Tap,medievaltimeswereveryhard,25,medievaltimeswereveryhard,25,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 11-May-22 - 6_15_22 PM
Tap_Gesture,physicsandche4mistryarehard,27,dche4mistryarehard,18,66.6666666666667,physicsan,9,33.3333333333333,12,5,41.6666666666667,7,58.3333333333333,0,M_D_Y H_M_S - 11-May-22 - 6_15_22 PM
Tap,sprawlingsubdivisionsarebad,27,sprawlingsubdivisionsarebad,27,100,-,-,0,-,-,-,-,-,-,M_D_Y H_M_S - 11-May-22 - 6_15_22 PM
